66; http://www.just-eat.co.uk/restaurants-5-star-fish-bar/menu; 103 Stafford Street; Walsall; 5 Star Fish Bar; WS2; 8DX; 5; American
67; http://www.just-eat.co.uk/restaurants-5starpizza-ha9/menu; 379 High Road; Wembley; 5 Star Pizza; HA9; 6AA; 2; Pizza
68; http://www.just-eat.co.uk/restaurants-5starpizza-ha9/menu; 379 High Road; Wembley; 5 Star Pizza; HA9; 6AA; 2; Pizza
69; http://www.just-eat.co.uk/restaurants-5starpizza-ha9/menu; 379 High Road; Wembley; 5 Star Pizza; HA9; 6AA; 2; Pizza
70; http://www.just-eat.co.uk/restaurants-5starpizza-ha9/menu; 379 High Road; Wembley; 5 Star Pizza; HA9; 6AA; 2; Pizza
71; http://www.just-eat.co.uk/restaurants-5starpizza-b70/menu; 104 Hiltop Road; West Bromich; 5 Star Pizza; B70; 0SH; 5; Pizza
72; http://www.just-eat.co.uk/restaurants-5starpizza-b70/menu; 104 Hiltop Road; West Bromich; 5 Star Pizza; B70; 0SH; 5; Pizza
73; http://www.just-eat.co.uk/restaurants-5starpizza-b70/menu; 104 Hiltop Road; West Bromich; 5 Star Pizza; B70; 0SH; 5; Pizza
74; http://www.just-eat.co.uk/restaurants-555hotcurry-ct12/menu; 17-19 Northwood Road; Kent; 555 Hot Curry; CT12; 6RR; 4; Curry
75; http://www.just-eat.co.uk/restaurants-555pizza-ct1/menu; 72 Castle Street; Canterbury; 555 Pizza; CT1; 2QD; 4; Pizza
76; http://www.just-eat.co.uk/restaurants-555pizzaandkebab-ct12/menu; 15 Northwood Road; Kent; 555 Pizza Kebab; CT12; 6RR; 4; Pizza
77; http://www.just-eat.co.uk/restaurants-57-orient-takeawayPR8/menu; 81 Upper Aughton Road; Southport; 57 Orient Takeaway; PR8; 5ND; 4; Chinese
78; http://www.just-eat.co.uk/restaurants-62worksop-s80/menu; 62 Newcastle Avenue; Worksop; 62 Worksop Fish Bar; S80; 1LA; 5; Fish Chips
79; http://www.just-eat.co.uk/restaurants-64pizzeria-ls4/menu; 64 Burley Road; Leeds; 64 Pizzeria; LS3; 1JX; 5; Pizza
80; http://www.just-eat.co.uk/restaurants-7andone-bt53/menu; 3 Charles Street; County Antrim; 7 One; BT53; 6DX; 5; Chinese
81; http://www.just-eat.co.uk/restaurants-7oaksgrilltn13/menu; 127 St Johns Hill; Sevenoaks; 7 Oaks Grill; TN13; 3PE; 4; English
82; http://www.just-eat.co.uk/restaurants-7spices-s3/menu; Mayfair Court; Sheffield; 7 Spices; S3; 8PP; 5; Curry
83; http://www.just-eat.co.uk/restaurants-7Spices-LS6/menu; 203-205 Woodhouse Street; Leeds; 7 Spices; LS6; 2NY; 5; Curry
84; http://www.just-eat.co.uk/restaurants-7spices-g32/menu; 975 Carntyne Road; Glasgow; 7 Spices Takeaway; G32; 6LY; 4; Curry
85; http://www.just-eat.co.uk/restaurants-7star-ne6/menu; 824 Shields Road; Newcastle; 7 STAR Pizza; NE6; 4QN; 5; Pizza
86; http://www.just-eat.co.uk/restaurants-7star-ne6/menu; 824 Shields Road; Newcastle; 7 STAR Pizza; NE6; 4QN; 5; Pizza
87; http://www.just-eat.co.uk/restaurants-7star-ne6/menu; 824 Shields Road; Newcastle; 7 STAR Pizza; NE6; 4QN; 5; Pizza
88; http://www.just-eat.co.uk/restaurants-7starspices-g52/menu; 828 Mosspark Drive; Lanarkshire; 7 Star Spices; G52; 3DA; 5; Pizza
89; http://www.just-eat.co.uk/restaurants-700degrees-gu51/menu; 192-196 Fleet Road; Hampshire; 700 Degrees; GU51; 4BY; 4; Chicken
90; http://www.just-eat.co.uk/restaurants-88-chinese-millbrook/menu; 44 London Road; Southampton; 88 Chinese; SO15; 2AH; 5; Chinese
91; http://www.just-eat.co.uk/restaurants-88noodlebar-hd1/menu; 15 Cross Church Street; Huddersfield; 88 Noodle Bar; HD1; 2PY; 4; Chinese
92; http://www.just-eat.co.uk/restaurants-888chinese-so23/menu; 77 North Walls; Winchester; 888 Chinese Takeaway; SO23; 8DA; 5; Chinese
93; http://www.just-eat.co.uk/restaurants-888tripleeight-bh9/menu; 888 Wimborne Road; Bournemouth; 888 Triple Eight; BH9; 2DR; 5; Chinese
94; http://www.just-eat.co.uk/restaurants-9cfc/menu; 7 Shopping Precinct; Featherstone; 9 Inch CFC; WF7; 5BX; 5; Pizza
95; http://www.just-eat.co.uk/restaurants-9thavenuepizzeria-bt78/menu; 9 Dromore Road; Omagh; 9th Avenue Pizzeria; BT78; 1QZ; 5; Pizza
96; http://www.just-eat.co.uk/restaurants-9thkitchen-b26/menu; 397 Sheldon Heath Road; Sheldon; 9th Kitchen; B26; 2UB; 5; Chinese
97; http://www.just-eat.co.uk/restaurants-A-G-Kitchen-M40/menu; 267 Nuthurst Road; Manchester; A G Kitchen; M40; 3PU; 5; Chinese
98; http://www.just-eat.co.uk/restaurants-a-and-t-mundi-house-iffley/menu; 64 Cowley Road; ; A T Mundi House; OX4; 1JB; 4; Arabic
99; http://www.just-eat.co.uk/restaurants-a-cake-a-shake-stockport/menu; 8B - 12B Houldsworth Street; Stockport; A Cake A Shake; SK5; 6DA; 4; Desserts
100; http://www.just-eat.co.uk/restaurants-a-cake-a-shake-stockport/menu; 8B - 12B Houldsworth Street; Stockport; A Cake A Shake; SK5; 6DA; 4; Desserts
101; http://www.just-eat.co.uk/restaurants-afishcalledrhondda-cf42/menu; 19 - 20 Church Road; Mid Glamorgan; A Fish Called Rhondda; CF41; 7ED; 5; English
102; http://www.just-eat.co.uk/restaurants-alapizza/menu; 28 Upton Lane; London; A La Pizza; E7; 9LN; 4; Pizza
103; http://www.just-eat.co.uk/restaurants-alapizza/menu; 28 Upton Lane; London; A La Pizza; E7; 9LN; 4; Pizza
104; http://www.just-eat.co.uk/restaurants-alaturka-pr7/menu; 99 Market Street; Chorley; A La Turka; PR7; 2SQ; 5; Pizza
105; http://www.just-eat.co.uk/restaurants-ammians-bl1/menu; 60 Great Moor Street; Bolton; A M Mians; BL1; 1SN; 5; Kebab
106; http://www.just-eat.co.uk/restaurants-ammians-bl1/menu; 60 Great Moor Street; Bolton; A M Mians; BL1; 1SN; 5; Kebab
107; http://www.just-eat.co.uk/restaurants-amatteroftaste-po6/menu; 7 Spur Road; Cosham; A Matter Of Taste; PO6; 3DY; 5; Pizza
108; http://www.just-eat.co.uk/restaurants-aonetandoori-ka21/menu; 43 Hamilton Street; Ayrshire; A One Tandoori; KA21; 5DT; 5; Curry
109; http://www.just-eat.co.uk/restaurants-a-passage-to-india/menu; 76 Bold Street; Liverpool; A Passage To India; L1; 4HR; 5; Curry
110; http://www.just-eat.co.uk/restaurants-apassagetoindia-sk22/menu; 29 Union Road; Derbyshire; A Passage To India; SK22; 3EL; 5; Curry
111; http://www.just-eat.co.uk/restaurants-sealandfishbar-ct1/menu; 71 Sturry Road; Canterbury; A Sealand Fish Bar - Collection Only; CT1; 1BU; 5; Fish Chips
112; http://www.just-eat.co.uk/restaurants-astarpizza-bl3/menu; 289 Lever Street; Bolton; A Star Chippy; BL3; 6PD; 5; Fish Chips
113; http://www.just-eat.co.uk/restaurants-alibabas-wf13/menu; 35 Wellington Road; Dewsbury; Ali Baba's; WF13; 1HN; 5; Pizza
114; http://www.just-eat.co.uk/restaurants-alibabaswn7/menu; 7 Railways Road; Leigh; Ali Baba's; WN7; 4AA; 5; Pizza
115; http://www.just-eat.co.uk/restaurants-alibabasbalti-de14/menu; 45 Branston Road; Staffordshire; Ali Babas Balti; DE14; 3BS; 4; Curry
116; http://www.just-eat.co.uk/restaurants-alibabas-ss6/menu; 45 Eastwood Road; Rayleigh; Ali Baba's Kebab Pizza; SS6; 7JE; 5; Kebab
117; http://www.just-eat.co.uk/restaurants-alibabas-de14/menu; 45 Branston Road; Burton-on-Trent; Ali Babas Pizza, Kebab Curries; DE14; 3BS; 4; Pizza
118; http://www.just-eat.co.uk/restaurants-alig/menu; 11a Tower Street; York; Ali G´s; YO1; 9SA; 5; Pizza
119; http://www.just-eat.co.uk/restaurants-aligeez-ne3/menu; 13 Mallowburn Cresent; Kenton; Ali Geez; NE3; 3YL; 4; Pizza
120; http://www.just-eat.co.uk/restaurants-ali-geez/menu; 6 Wellington Street; Gateshead; Ali Geez Pizza Kebab; NE8; 2AJ; 5; Pizza
121; null; 111; 11; 11; 11; 1; 11; 11
